id,StateNumber,StateName,Source,ArtsDefinedCore,EarlyChildhoodStandards,ElementaryandorSecondaryStandards,ArtsRequiredElementary,ArtsRequiredMiddle,ArtsRequiredHigh,OptionforGradRequirement,Require-StateDistrictTest,ArtsforSchoolAccred,StateProvidesFunding,LinkSource,DataCollectionYear,StudentPopulation,RawSchoolNum,SchoolsWithoutArts,StudentsWithoutAccess,PctWithStudentsWithAnyAccess,PctHSStudentsWithAnyAccess,PctStudentsWithAccesstoAll,PctSchoolsWithAccesstoAll,PctStudentsWithoutAnyAccess,PctSchoolsWithAccess,HighPovertyAccess,HighPovertyEnrollmentPct,LocationsLeastAccess,DemoLeastAcess,PctAnyArtsEnrollment,PctHighAnyArtsEnrollment,PctElemAnyArtsEnrollment,PctVisArtEnrollment,PctMusicEnrollment,PctTheatreEnrollment,PctWithVisArts,PctWithMusic,PctWithTheatre,PctWithDance,PctWithElemArts,PctWithElemMusic,PctWithElemTheatre,PctWithHSArt,PctWithHSMusic,PctWithHSTheatre
MI,23,Michigan,Michigan Department of Education does not,does not,does,does,does not,does not,does not,does,does not,does not,does not,https://www.michigan.gov/mde/,2019,1444313,"3,550",,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
MN,24,Minnesota,Creative MN Arts Education Data Project does,does,does,does,does,does,does,does,does,does not,does,https://www.creativemn.org/mn-arts-education-data/data/,2017,252181,482,,,76,,36,,,66,,39,rural,,44,45,,25,22,2,unknown,unknown,,,,,,,,
MS,25,Mississippi,South Arts does,does,does,does,does,does,does,does not,does not,does not,does,https://www.southarts.org/resources/research-and-publications/research/arts-education/,2014,465913,"1,070",,,,,,,,,,,,,,13,65,60,63,11,47.2,59.8,16.5,9.4,36.1,57.4,1.6,68.6,71.4,40
MO,26,Missouri,Missouri Arts Council does,does not,does,does,does,does,does,does not,does not,does,does,https://www.missouriartscouncil.org/wp-content/uploads/2018/11/2015-MAAE-study_Arts-Education-STILL-Makes-a-Difference-in-Missouri-Schools.pdf,2015,881277,"2,410",,,,,,,,,,,,,,,,,,,99.8,99,36,0.6,,,,,,
MT,27,Montana,Montana Department of Education does not,does not,does,does,does,does,does,does not,does,does,does not,http://opi.mt.gov/,2019,147713,827,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
NE,28,Nebraska,Nebraska Department of Education does not,does,does,does,does,does,does,does not,does not,does not,does not,https://www.education.ne.gov/finearts/,2019,366966,"1,270",,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
NV,29,Nevada,Nevada Department of Education does not,does not,does,does,does,does,does,does,does not,does not,does not,http://www.doe.nv.gov/,2019,500860,670,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
NH,30,New Hampshire,New Hampshire Department of Education does not,does,does,does,does,does,does,does,does,does,does not,https://www.education.nh.gov/,2019,110842,480,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
NJ,31,New Jersey,New Jersey Department of Education does,does,does,does,does,does,does,does not,does,does not,does,https://www.nj.gov/education/data/,2019,1404287,"2,516",,,,,,,,,,,,,,50.9,,,,,unknown,unknown,,,,,,,,
NM,32,New Mexico,New Mexico Public Education Department does not,does,does,does,does,does,does not,does not,does not,does,does,https://webnew.ped.state.nm.us/,2018,321351,880,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
NY,33,New York,New York Arts Education Data Project does,does not,does,does,does,does,does,does not,does not,does not,does,https://www.artseddata.org/new-york/,2017,2691371,"4,795",,,,,,,,,,85,,,76,53,89,63,58,10,unknown,unknown,,,,,,,,
NC,34,North Carolina,North Carolina Arts Education Data Project does,does,does,does,does,does,does,does not,does not,does not,does,https://sites.google.com/dpi.nc.gov/artseducation/resources/arts-ed-data-project,2016,1544509,"2,592",,,98,,,,,93,,80,,,74,36,96,57,59,5,unknown,unknown,,,,,,,,
ND,35,North Dakota,North Dakota Department of Public Instruction does not,does,does,does,does not,does not,does,does,does not,does,does not,https://www.nd.gov/dpi/,2019,110797,530,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
OH,36,Ohio,Ohio Alliance for Arts Education does,does not,does,does,does,does,does,does,does,does not,does not,https://oaae.net/ohio-arts-education-data-project-introduction/,2018,1679037,"3,374",116,"28,258",97,,,,2,96,95,92,city,,84,59,98,78,82,1,92,93,6.5,2,92,96,0,84,77,7
OK,37,Oklahoma,Oklahoma State Department of Education does,does,does,does,does,does,does,does,does,does,does,https://drive.google.com/file/d/1PeIh0IdnyXheIITL6FK-MZ5LOQZ9xajS/view,2018,703650,"1,786",,"18,597",,,,,28,42,,,rural,,,,,,,,unknown,52,,14,22,56,,46,,23
OR,38,Oregon,Oregon Department of Education does,does,does,does,does,does,does,does,does not,does not,does not,https://www.oregon.gov/ode/reports-and-data/Documents/class_size_report_20192020.pdf,2020,556406,"1,200",,,,,,,,,,,,,26,,,,,,unknown,unknown,,,,,,,,
PA,39,Pennsylvania,Pennsylvania Department of Education does not,does,does,does,does,does,does,does not,does,does not,does not,https://www.education.pa.gov/Pages/PageNotFoundError.aspx?requestUrl=https://www.education.pa.gov/Teachers%20-%20Administrators/Curriculum/Pages/ArtsHumanities.aspx,2020,1770517,"3,300",,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
RI,40,Rhode Island,Rhode Island Department of Education,does,does,does,does,does,does,does,does,does not,does not,https://www.ride.ri.gov/InstructionAssessment/OtherSubjects.aspx,2020,143436,313,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
SC,41,South Carolina,South Arts does,does not,does,does,does,does,does,does not,does not,does not,does,https://www.southarts.org/resources/research-and-publications/research/arts-education/,2014,778047,"1,240",,,,,,,,,,,,,,,,62,64,30,86.2,92,24.6,16.3,86.6,94.4,12.5,94.4,94.4,61.1
SD,42,South Dakota,South Dakota Department of Education does not,does not,does,does,does not,does not,does,does not,does not,does not,does not,https://doe.sd.gov/contentstandards/,2020,134993,670,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
TN,43,Tennessee,TN Arts Education Data Project does,does not,does,does,does,does,does,does not,does not,does not,does not,http://tnartseducationdataproject.org/tn-data/,2017,966895,"1,726",,,93,,,,,87,61,73,rural,,70,57,80,49,56,4,unknown,unknown,,,,,,,,
TX,44,Texas,Texas Education Agency does,does,does,does,does,does,does,does not,does not,does,does not,https://rptsvr1.tea.texas.gov/adhocrpt/adfte.html,2019,5431910,"8,731",,,,,,,,,,,,,41,,,,,,unknown,unknown,,,,,,,,
UT,45,Utah,Utah State Board of Education dos not,does,does,does,does,does,does,does not,does not,does not,does,https://www.schools.utah.gov/curr/finearts,2019,658629,"1,046",,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
VT,46,Vermont,Dartmouth College does,does not,does,does,does,does,does,does not,does,does not,does not,https://rockefeller.dartmouth.edu/sites/rockefeller.drupalmulti-prod.dartmouth.edu/files/prsarts_final_2017.pdf,2017,84432,250,,,,,,,,,,,,,,,,,,,unknown,unknown,,,100,95,4,95,95,13
VA,47,Virginia,Virgina Department of Education does not,does,does,does,does,does,does,does,does not,does not,does not,http://www.doe.virginia.gov/instruction/fine_arts/index.shtml,2019,1298083,"2,182",,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
WA,48,Washington,Washington Office of Superintendent of Public Instruction does not,does,does,does,does,does,does,does not,does,does not,does not,https://www.k12.wa.us/student-success/resources-subject-area/arts,2020,1147464,"2,370",,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
WV,49,West Virginia,West Virginia Department of Education does not,does not,does,does,does,does,does,does,does not,does not,does not,https://wvde.us/middle-secondary-learning/the-arts/,2020,261633,757,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
WI,50,Wisconsin,Wisconsin Arts Education Data Project does,does,does,does,does,does,does,does not,does not,does,does not,https://dpi.wi.gov/fine-arts/data,2018,803068,"1,987",,"17,648",98,,,,2,,97,75,small suburban,,77,30,86,67,57,1,93,87,8,2,93,89,0,95,91,1
WY,51,Wyoming,Wyoming Department of Education does not,does,does,does,does,does,does,does not,does,does,does not,https://edu.wyoming.gov/educators/standards/arts/,2019,93029,349,,,,,,,,,,,,,,,,,,,unknown,unknown,,,,,,,,
