id,StateNumber,StateName,Source,ArtsDefined-Core,EarlyChildhood-Standards,ElementaryandorSecondary-Standards,ArtsRequired-Elementary,ArtsRequired-Middle,ArtsRequired-High,OptionforGradRequirement,Require-StateDistrictTest,ArtsforSchoolAccred,State-ProvidesFunding,Link-Source,DataCollection-Year,Student-Population,RawSchoolNum,SchoolsWithoutArts,StudentsWithoutAccess,Pct-WithStudentsWithAnyAccess,Pct-HSStudentsWithAnyAccess,Pct-StudentsWithAccesstoAll,Pct-SchoolsWithAccesstoAll,Pct-StudentsWithoutAnyAccess,Pct-SchoolsWithAccess,HighPoverty-Access,HighPoverty-EnrollmentPct,Locations-LeastAccess,Demo-LeastAcess,Pct-AnyArtsEnrollment,Pct-HighAnyArtsEnrollment,Pct-ElemAnyArtsEnrollment,Pct-VisArtEnrollment,Pct-MusicEnrollment,Pct-TheatreEnrollment,Pct-WithVisArts,Pct-WithMusic,Pct-WithTheatre,Pct-WithDance,Pct-WithElemArts,Pct-WithElemMusic,Pct-WithElemTheatre,Pct-WithHSArt,Pct-WithHSMusic,Pct-WithHSTheatre
ME,20,Maine,Maine Department of Education does not,does,does,does,does,does,does,does not,does not,does,does,https://www.maine.gov/doe/learning/content/arts,2019,"178,398",610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,21,Maryland,Maryland Department of Education does not collect,does,does,does,does,does,does,does not,does not,does,does not,http://marylandpublicschools.org/programs/Pages/Fine-Arts/index.aspx,2019,"896,837","1,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,22,Massachusetts,Massachusetts Department of Education does,does,does,does,does,does,does,does not,does,does,does not,http://profiles.doe.mass.edu/statereport/artcourse.aspx,2019,"923,129","1,850",,,,,,,,,,,,,80,,,,,,,,,,,,,,,
MI,23,Michigan,Michigan Department of Education does not,does not,does,does,does not,does not,does not,does,does not,does not,does not,https://www.michigan.gov/mde/,2019,"1,444,313","3,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,24,Minnesota,Creative MN Arts Education Data Project does,does,does,does,does,does,does,does,does,does not,does,https://www.creativemn.org/mn-arts-education-data/data/,2017,"252,181",482,,,76,,36,,,66,,39,rural,,44,45,,25,22,2,,,,,,,,,,
MS,25,Mississippi,South Arts does,does,does,does,does,does,does,does not,does not,does not,does,https://www.southarts.org/resources/research-and-publications/research/arts-education/,2014,"465,913","1,070",,,,,,,,,,,,,,13,65,60,63,11,47.2,59.8,16.5,9.4,36.1,57.4,1.6,68.6,71.4,40
MO,26,Missouri,Missouri Arts Council does,does not,does,does,does,does,does,does not,does not,does,does,https://www.missouriartscouncil.org/wp-content/uploads/2018/11/2015-MAAE-study_Arts-Education-STILL-Makes-a-Difference-in-Missouri-Schools.pdf,2015,"881,277","2,410",,,,,,,,,,,,,,,,,,,99.8,99,36,0.6,,,,,,
MT,27,Montana,Montana Department of Education does not,does not,does,does,does,does,does,does not,does,does,does not,http://opi.mt.gov/,2019,"147,713",827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,28,Nebraska,Nebraska Department of Education does not,does,does,does,does,does,does,does not,does not,does not,does not,https://www.education.ne.gov/finearts/,2019,"366,966","1,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,29,Nevada,Nevada Department of Education does not,does not,does,does,does,does,does,does,does not,does not,does not,http://www.doe.nv.gov/,2019,"500,860",670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,30,New Hampshire,New Hampshire Department of Education does not,does,does,does,does,does,does,does,does,does,does not,https://www.education.nh.gov/,2019,"110,842",480,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,31,New Jersey,New Jersey Department of Education does,does,does,does,does,does,does,does not,does,does not,does,https://www.nj.gov/education/data/,2019,"1,404,287","2,516",,,,,,,,,,,,,,50.9,,,,,,,,,,,,,,
NM,32,New Mexico,New Mexico Public Education Department does not,does,does,does,does,does,does not,does not,does not,does,does,https://webnew.ped.state.nm.us/,2018,"321,351",880,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,33,New York,New York Arts Education Data Project does,does not,does,does,does,does,does,does not,does not,does not,does,https://www.artseddata.org/new-york/,2017,"2,691,371","4,795",,,,,,,,,,85,,,76,53,89,63,58,10,,,,,,,,,,
NC,34,North Carolina,North Carolina Arts Education Data Project does,does,does,does,does,does,does,does not,does not,does not,does,https://sites.google.com/dpi.nc.gov/artseducation/resources/arts-ed-data-project,2016,"1,544,509","2,592",,,98,,,,,93,,80,,,74,36,96,57,59,5,,,,,,,,,,
ND,35,North Dakota,North Dakota Department of Public Instruction does not,does,does,does,does not,does not,does,does,does not,does,does not,https://www.nd.gov/dpi/,2019,"110,797",530,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,36,Ohio,Ohio Alliance for Arts Education does,does not,does,does,does,does,does,does,does,does not,does not,https://oaae.net/ohio-arts-education-data-project-introduction/,2018,"1,679,037","3,374",116,"28,258",97,,,,2,96,95,92,city,,84,59,98,78,82,1,92,93,6.5,2,92,96,0,84,77,7
OK,37,Oklahoma,Oklahoma State Department of Education does,does,does,does,does,does,does,does,does,does,does,https://drive.google.com/file/d/1PeIh0IdnyXheIITL6FK-MZ5LOQZ9xajS/view,2018,"703,650","1,786",,"18,597",,,,,28,42,,,rural,,,,,,,,,52,,14,22,56,,46,,23
OR,38,Oregon,Oregon Department of Education does,does,does,does,does,does,does,does,does not,does not,does not,https://www.oregon.gov/ode/reports-and-data/Documents/class_size_report_20192020.pdf,2020,"556,406","1,200",,,,,,,,,,,,,26,,,,,,,,,,,,,,,
PA,39,Pennsylvania,Pennsylvania Department of Education does not,does,does,does,does,does,does,does not,does,does not,does not,https://www.education.pa.gov/Pages/PageNotFoundError.aspx?requestUrl=https://www.education.pa.gov/Teachers%20-%20Administrators/Curriculum/Pages/ArtsHumanities.aspx,2020,"1,770,517","3,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,40,Rhode Island,Rhode Island Department of Education,does,does,does,does,does,does,does,does,does not,does not,https://www.ride.ri.gov/InstructionAssessment/OtherSubjects.aspx,2020,"143,436",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,41,South Carolina,South Arts does,does not,does,does,does,does,does,does not,does not,does not,does,https://www.southarts.org/resources/research-and-publications/research/arts-education/,2014,"778,047","1,240",,,,,,,,,,,,,,,,62,64,30,86.2,92,24.6,16.3,86.6,94.4,12.5,94.4,94.4,61.1
SD,42,South Dakota,South Dakota Department of Education does not,does not,does,does,does not,does not,does,does not,does not,does not,does not,https://doe.sd.gov/contentstandards/,2020,"134,993",670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,43,Tennessee,TN Arts Education Data Project does,does not,does,does,does,does,does,does not,does not,does not,does not,http://tnartseducationdataproject.org/tn-data/,2017,"966,895","1,726",,,93,,,,,87,61,73,rural,,70,57,80,49,56,4,,,,,,,,,,
TX,44,Texas,Texas Education Agency does,does,does,does,does,does,does,does not,does not,does,does not,https://rptsvr1.tea.texas.gov/adhocrpt/adfte.html,2019,"5,431,910","8,731",,,,,,,,,,,,,41,,,,,,,,,,,,,,,
UT,45,Utah,Utah State Board of Education dos not,does,does,does,does,does,does,does not,does not,does not,does,https://www.schools.utah.gov/curr/finearts,2019,"658,629","1,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,46,Vermont,Dartmouth College does,does not,does,does,does,does,does,does not,does,does not,does not,https://rockefeller.dartmouth.edu/sites/rockefeller.drupalmulti-prod.dartmouth.edu/files/prsarts_final_2017.pdf,2017,"84,432",250,,,,,,,,,,,,,,,,,,,,,,,100,95,4,95,95,13
VA,47,Virginia,Virgina Department of Education does not,does,does,does,does,does,does,does,does not,does not,does not,http://www.doe.virginia.gov/instruction/fine_arts/index.shtml,2019,"1,298,083","2,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,48,Washington,Washington Office of Superintendent of Public Instruction does not,does,does,does,does,does,does,does not,does,does not,does not,https://www.k12.wa.us/student-success/resources-subject-area/arts,2020,"1,147,464","2,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,49,West Virginia,West Virginia Department of Education does not,does not,does,does,does,does,does,does,does not,does not,does not,https://wvde.us/middle-secondary-learning/the-arts/,2020,"261,633",757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,50,Wisconsin,Wisconsin Arts Education Data Project does,does,does,does,does,does,does,does not,does not,does,does not,https://dpi.wi.gov/fine-arts/data,2018,"803,068","1,987",,"17,648",98,,,,2,,97,75,small suburban,,77,30,86,67,57,1,93,87,8,2,93,89,0,95,91,1
WY,51,Wyoming,Wyoming Department of Education does not,does,does,does,does,does,does,does not,does,does,does not,https://edu.wyoming.gov/educators/standards/arts/,2019,"93,029",349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
